brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
109906.0,for_sale,575000.0,3.0,2.0,3.88,1312671.0,San Sebastian,Puerto Rico,685.0,4000.0,
46019.0,for_sale,140000.0,6.0,3.0,0.25,6710.0,Anasco,Puerto Rico,610.0,1230.0,
52707.0,for_sale,50000.0,2.0,1.0,0.23,1902835.0,Yauco,Puerto Rico,698.0,621.0,
52707.0,for_sale,165000.0,6.0,3.0,0.1,117231.0,Moca,Puerto Rico,676.0,3000.0,
81909.0,for_sale,189000.0,3.0,1.0,2.0,1307740.0,Coamo,Puerto Rico,769.0,1213.0,
52707.0,for_sale,115000.0,3.0,2.0,,481889.0,Ponce,Puerto Rico,716.0,1148.0,
12434.0,for_sale,122500.0,3.0,2.0,0.05,437877.0,Yauco,Puerto Rico,698.0,1118.0,
52464.0,for_sale,255000.0,3.0,2.0,0.28,1948621.0,San Sebastian,Puerto Rico,685.0,1500.0,
81495.0,for_sale,425000.0,4.0,3.0,0.3,955013.0,Ponce,Puerto Rico,730.0,3000.0,
87549.0,for_sale,93000.0,4.0,2.0,0.11,1854860.0,Guayanilla,Puerto Rico,656.0,1300.0,
92147.0,for_sale,75000.0,4.0,2.0,0.04,511838.0,Manati,Puerto Rico,676.0,1080.0,
29915.0,for_sale,469000.0,3.0,2.0,0.69,1857020.0,Isabela,Puerto Rico,662.0,2505.0,
52707.0,for_sale,189000.0,6.0,3.0,1.75,1902849.0,Villalba,Puerto Rico,766.0,1943.0,
52707.0,for_sale,225000.0,5.0,4.0,0.12,1987398.0,Ponce,Puerto Rico,717.0,1600.0,
67133.0,for_sale,495000.0,4.0,2.0,3.08,1962660.0,Santa Isabel,Puerto Rico,757.0,2886.0,
86036.0,for_sale,220000.0,1.0,1.0,0.1,523790.0,Ponce,Puerto Rico,730.0,850.0,
52707.0,for_sale,70500.0,3.0,1.0,0.23,1856955.0,Yauco,Puerto Rico,698.0,936.0,
3606.0,for_sale,305000.0,3.0,2.0,1.13,1902855.0,Moca,Puerto Rico,676.0,1928.0,
109906.0,for_sale,475000.0,4.0,4.0,4.84,1940314.0,San Sebastian,Puerto Rico,685.0,3690.0,
1502.0,for_sale,195000.0,3.0,4.0,1.94,1856898.0,Utuado,Puerto Rico,641.0,2500.0,
109906.0,for_sale,120000.0,4.0,2.0,0.24,1667467.0,Las Marias,Puerto Rico,670.0,1800.0,
52707.0,for_sale,650000.0,9.0,7.0,0.46,1902746.0,Mayaguez,Puerto Rico,680.0,3709.0,
86036.0,for_sale,555000.0,5.0,3.0,0.16,480944.0,Ponce,Puerto Rico,730.0,3100.0,
63639.0,for_sale,3900000.0,6.0,6.0,0.94,269007.0,Penuelas,Puerto Rico,624.0,9297.0,
52707.0,for_sale,400000.0,,,0.99,1857015.0,Moca,Puerto Rico,676.0,43082.0,
80224.0,for_sale,380000.0,,,18.45,1855421.0,Hatillo,Puerto Rico,659.0,,
52707.0,for_sale,95000.0,3.0,2.0,0.1,1868667.0,Aguada,Puerto Rico,602.0,600.0,
87549.0,for_sale,74000.0,3.0,1.0,0.09,1902824.0,Aguada,Puerto Rico,602.0,900.0,
108122.0,for_sale,139500.0,4.0,2.0,0.15,397960.0,Aguada,Puerto Rico,602.0,3000.0,
72457.0,for_sale,149900.0,1.0,1.0,0.26,1850822.0,Aguada,Puerto Rico,602.0,2100.0,
15143.0,for_sale,180000.0,2.0,2.0,0.24,1234696.0,Aguada,Puerto Rico,602.0,1138.0,
52707.0,for_sale,249000.0,3.0,2.0,0.13,1902736.0,Aguada,Puerto Rico,602.0,1380.0,
52707.0,for_sale,252000.0,6.0,4.0,0.23,1902727.0,Aguada,Puerto Rico,602.0,2500.0,
102017.0,for_sale,160000.0,2.0,1.0,,1842923.0,Aguada,Puerto Rico,602.0,813.0,
49045.0,for_sale,90000.0,2.0,1.0,0.07,1837494.0,Aguada,Puerto Rico,602.0,813.0,
46019.0,for_sale,500000.0,5.0,3.0,1.78,10282.0,Aguada,Puerto Rico,602.0,2962.0,
47983.0,for_sale,339000.0,4.0,2.0,0.1,268641.0,Aguada,Puerto Rico,602.0,1955.0,
89348.0,for_sale,265000.0,3.0,2.0,0.08,1868699.0,Aguada,Puerto Rico,602.0,1200.0,
55906.0,for_sale,10000000.0,6.0,5.0,0.12,1233063.0,Aguada,Puerto Rico,602.0,6000.0,
47983.0,for_sale,389000.0,3.0,4.0,2.0,1902739.0,Aguada,Puerto Rico,602.0,1880.0,
102017.0,for_sale,575000.0,3.0,2.0,2.96,1962620.0,Aguada,Puerto Rico,602.0,2500.0,
46019.0,for_sale,35000.0,,,0.88,1234597.0,Aguada,Puerto Rico,602.0,,
52464.0,for_sale,58000.0,,,0.21,1966337.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,85000.0,,,21.08,1188097.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,47000.0,,,0.57,1841588.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,720000.0,3.0,3.0,,1667516.0,Aguada,Puerto Rico,602.0,2715.0,
102017.0,for_sale,375000.0,7.0,5.0,0.31,166250.0,Aguada,Puerto Rico,602.0,2775.0,
46019.0,for_sale,50000.0,,,0.65,1946326.0,Aguada,Puerto Rico,602.0,,
66561.0,for_sale,3250000.0,,6.0,0.06,1856959.0,Rincon,Puerto Rico,602.0,,
47983.0,for_sale,39500.0,,,0.24,1902841.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,249500.0,,,33.35,1032552.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,1399000.0,5.0,3.0,8.74,6714.0,Aguada,Puerto Rico,602.0,5517.0,
60830.0,for_sale,600000.0,6.0,5.0,0.1,1946165.0,Aguada,Puerto Rico,602.0,2400.0,
102017.0,for_sale,649000.0,,,2.64,1946165.0,Aguada,Puerto Rico,602.0,,
47983.0,for_sale,189000.0,2.0,1.0,,1902894.0,Aguada,Puerto Rico,602.0,951.0,
52707.0,for_sale,150000.0,,,1.46,1902798.0,Aguada,Puerto Rico,602.0,,
107152.0,for_sale,74000.0,,,0.21,1966339.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,65500.0,,,0.28,16882.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,67500.0,,,0.28,1760196.0,Aguada,Puerto Rico,602.0,,
107152.0,for_sale,74000.0,,,0.21,1842584.0,Aguada,Puerto Rico,602.0,,
88086.0,for_sale,130000.0,,,0.42,1902763.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,95000.0,,,0.37,1188098.0,Aguada,Puerto Rico,602.0,,
47983.0,for_sale,329000.0,,,0.23,939073.0,Rincon,Puerto Rico,602.0,,
46019.0,for_sale,130000.0,,,0.68,6711.0,Aguada,Puerto Rico,602.0,,
102017.0,for_sale,94770.0,,,0.25,166251.0,Aguada,Puerto Rico,602.0,,
88086.0,for_sale,150000.0,,,0.38,1902760.0,Aguada,Puerto Rico,602.0,,
46019.0,for_sale,165000.0,,,0.4,167086.0,Aguada,Puerto Rico,602.0,,
107152.0,for_sale,215000.0,3.0,2.0,0.22,595559.0,Aguadilla,Puerto Rico,603.0,2070.0,
52707.0,for_sale,63000.0,3.0,2.0,0.05,1856967.0,Aguadilla,Puerto Rico,603.0,1184.0,
107152.0,for_sale,215000.0,3.0,2.0,0.22,1268649.0,Aguadilla,Puerto Rico,603.0,1900.0,
48586.0,for_sale,115000.0,3.0,1.0,0.2,1962563.0,Aguadilla,Puerto Rico,603.0,980.0,
52707.0,for_sale,99000.0,4.0,2.0,0.89,1499349.0,Aguadilla,Puerto Rico,603.0,1408.0,
102017.0,for_sale,850000.0,5.0,5.0,0.62,792809.0,Aguadilla,Puerto Rico,603.0,8460.0,
92147.0,for_sale,140000.0,3.0,2.0,0.11,1868702.0,Aguadilla,Puerto Rico,603.0,1116.0,
1123.0,for_sale,499000.0,4.0,3.0,0.26,117065.0,Aguadilla,Puerto Rico,603.0,3734.0,
87549.0,for_sale,180000.0,3.0,2.0,0.17,846259.0,Aguadilla,Puerto Rico,603.0,1500.0,
61710.0,for_sale,225900.0,6.0,3.0,0.49,1946283.0,Aguadilla,Puerto Rico,603.0,2618.0,
65672.0,for_sale,260000.0,4.0,2.0,0.12,1136713.0,Aguadilla,Puerto Rico,603.0,1760.0,
102017.0,for_sale,31179.0,,,0.13,1987983.0,Aguadilla,Puerto Rico,603.0,,
52707.0,for_sale,500000.0,4.0,3.0,0.33,1902866.0,Aguadilla,Puerto Rico,603.0,2950.0,
103378.0,for_sale,225000.0,3.0,2.0,0.21,1838380.0,Aguada,Puerto Rico,603.0,1565.0,
46019.0,for_sale,28000.0,,,0.25,1236850.0,Aguadilla,Puerto Rico,603.0,,
